#version: ${plugin.version}
#If you change this file it will not be automatically updated after the next release.,
#item,material
Stone,stone
Granite,granite
PolishedGranite,polished_granite
pGranite,polished_granite
Diorite,diorite
PolishedDiorite,polished_diorite
pDiorite,polished_diorite
Andesite,andesite
PolishedAndesite,polished_andesite
pAndesite,polished_andesite
sstone,smooth_stone
Smoothstone,smooth_stone
Rock,stone
Grass,grass_path
GreenDirt,grass_block
GreenEarth,grass_block
GreenLand,grass_block
Dirt,dirt
Earth,dirt
Land,dirt
GrasslessDirt,coarse_dirt
GrasslessEarth,coarse_dirt
GrasslessLand,coarse_dirt
coarseDirt,coarse_dirt
cDirt,coarse_dirt
Podzol,podzol
Cobblestone,cobblestone
cstone,cobblestone
Cobble,cobblestone
wood,oak_planks
Plank,oak_planks
WoodenPlank,oak_planks
woodPlank,oak_planks
wPlank,oak_planks
PlankWooden,oak_planks
Plankwood,oak_planks
Plankw,oak_planks
OakPlank,oak_planks
OakWoodenPlank,oak_planks
OakwoodPlank,oak_planks
OakwPlank,oak_planks
OakPlankWooden,oak_planks
OakPlankwood,oak_planks
OakPlankw,oak_planks
oPlank,oak_planks
oWoodenPlank,oak_planks
owoodPlank,oak_planks
owPlank,oak_planks
oPlankWooden,oak_planks
oPlankwood,oak_planks
oPlankw,oak_planks
PinePlank,spruce_planks
PineWoodenPlank,spruce_planks
PinewoodPlank,spruce_planks
PinewPlank,spruce_planks
PinePlankWooden,spruce_planks
PinePlankwood,spruce_planks
PinePlankw,spruce_planks
pPlank,spruce_planks
pWoodenPlank,spruce_planks
pwoodPlank,spruce_planks
pwPlank,spruce_planks
pPlankWooden,spruce_planks
pPlankwood,spruce_planks
pPlankw,spruce_planks
DarkPlank,dark_oak_planks
DarkWoodenPlank,dark_oak_planks
DarkwoodPlank,dark_oak_planks
DarkwPlank,dark_oak_planks
DarkPlankWooden,dark_oak_planks
DarkPlankwood,dark_oak_planks
DarkPlankw,dark_oak_planks
dPlank,dark_oak_planks
dWoodenPlank,dark_oak_planks
dwoodPlank,dark_oak_planks
dwPlank,dark_oak_planks
dPlankWooden,dark_oak_planks
dPlankwood,dark_oak_planks
dPlankw,dark_oak_planks
SprucePlank,spruce_planks
SpruceWoodenPlank,spruce_planks
SprucewoodPlank,spruce_planks
SprucewPlank,spruce_planks
SprucePlankWooden,spruce_planks
SprucePlankwood,spruce_planks
SprucePlankw,spruce_planks
Splank,spruce_planks
sWoodenPlank,spruce_planks
swoodPlank,spruce_planks
swPlank,spruce_planks
SplankWooden,spruce_planks
Splankwood,spruce_planks
Splankw,spruce_planks
BirchPlank,birch_planks
BirchWoodenPlank,birch_planks
BirchWoodPlank,birch_planks
BirchwPlank,birch_planks
