#version: 1.0.0
#If you change this file, it will not be automatically updated after the next release.
#name,id
Speed,SPEED
Fast,SPEED
RunFast,SPEED
Sprint,SPEED
Swift,SPEED
Slowness,SLOW
Slow,SLOW
Sluggish,SLOW
Haste,FAST_DIGGING
Superpick,FAST_DIGGING
QuickMine,FAST_DIGGING
DigSpeed,FAST_DIGGING
DigFast,FAST_DIGGING
Sharp,FAST_DIGGING
Fatigue,SLOW_DIGGING
MiningFatigue,SLOW_DIGGING
Dull,SLOW_DIGGING
Strength,INCREASE_DAMAGE
Strong,INCREASE_DAMAGE
Bull,INCREASE_DAMAGE
Attack,INCREASE_DAMAGE
Heal,HEAL
Healthy,HEAL
InstaHeal,HEAL
Harm,HARM
Harming,HARM
Injure,HARM
Damage,HARM
Inflict,HARM
Jump,JUMP
Leap,JUMP
Nausea,CONFUSION
Sick,CONFUSION
Sickness,CONFUSION
Confusion,CONFUSION
Regeneration,REGENERATION
Regen,REGENERATION
Resistance,DAMAGE_RESISTANCE
DMGResist,DAMAGE_RESISTANCE
Armor,DAMAGE_RESISTANCE
Armour,DAMAGE_RESISTANCE
FireResist,FIRE_RESIST
FireResistance,FIRE_RESIST
ResistFire,FIRE_RESIST
WaterBreath,WATER_BREATHING
WaterBreathing,WATER_BREATHING
Invisibility,INVISIBILITY
Invisible,INVISIBILITY
Invis,INVISIBILITY
Vanish,INVISIBILITY
Dissapear,INVISIBILITY
Blindness,BLINDNESS
Blind,BLINDNESS
NightVision,NIGHT_VISION
Vision,NIGHT_VISION
Hunger,HUNGER
Hungry,HUNGER
Starve,HUNGER
Weakness,WEAKNESS
Weak,WEAKNESS
Poison,POISON
Venom,POISON
Wither,WITHER
Decay,WITHER
HealthBoost,HEALTH_BOOST
Boost,HEALTH_BOOST
Absorption,ABSORPTION
Absorb,ABSORPTION
Saturation,SATURATION
Food,SATURATION
Glowing,GLOWING
Luck,LUCK
Unluck,UNLUCK
Unlucky,UNLUCK
BadLuck,UNLUCK
Levitation,LEVITATION
Hover,LEVITATION
